Title,Bedrooms,Bathrooms,Parking,Floors,Road Access, Price (NPR) ,Area (sq.ft),Location
House for Sale,3,3,Available,3,14 ft," 23,420,000.00 ",2181,"Balkot, Suryabinayak-2, Bhaktapur"
House for Sale,4,3,Available,2,27 ft," 18,167,000.00 ",2005,"Dadhikot, Suryabinayak-4, Bhaktapur"
House for Sale,4,2,Available,2,22 ft," 24,878,000.00 ",2090,"Jhaukhel, Changunarayan-1, Bhaktapur"
House for Sale,4,2,Available,3,18 ft," 35,308,000.00 ",2006,"Sipadol, Suryabinayak-8, Bhaktapur"
House for Sale,3,3,Available,2,15 ft," 17,483,000.00 ",1543,"Bode, Madhyapur Thimi-8, Bhaktapur"
House for Sale,3,2,Available,1,28 ft," 17,483,000.00 ",1972,"Thimi, Madhyapur Thimi-5, Bhaktapur"
House for Sale,2,2,Available,3,14 ft," 36,111,000.00 ",2120,"Nagadesh, Madhyapur Thimi-4, Bhaktapur"
House for Sale,5,2,Not Available,1,26 ft," 26,099,000.00 ",2101,"Kamalbinayak, Bhaktapur-10, Bhaktapur"
House for Sale,4,1,Not Available,3,30 ft," 16,500,000.00 ",2275,"Byasi, Bhaktapur-5, Bhaktapur"
House for Sale,4,2,Available,2,18 ft," 23,854,000.00 ",2083,"Dattatreya, Bhaktapur-1, Bhaktapur"
House for Sale,2,2,Available,4,18 ft," 16,500,000.00 ",1940,"Kapan, Budhanilkantha-10, Kathmandu"
House for Sale,4,2,Available,2,31 ft," 16,500,000.00 ",2228,"Jorpati, Gokarneshwor-6, Kathmandu"
House for Sale,5,2,Available,2,28 ft," 21,151,000.00 ",1789,"Sundarijal, Gokarneshwor-1, Kathmandu"
House for Sale,3,4,Not Available,2,11 ft," 16,500,000.00 ",1447,"Sankhu, Shankharapur-5, Kathmandu"
House for Sale,3,3,Available,2,15 ft," 16,500,000.00 ",1734,"Pharping, Dakshinkali-7, Kathmandu"
House for Sale,3,3,Available,3,31 ft," 16,500,000.00 ",1502,"Tokha, Tokha-3, Kathmandu"
House for Sale,3,3,Available,4,10 ft," 16,500,000.00 ",1529,"Gongabu, Tokha-9, Kathmandu"
House for Sale,4,2,Not Available,2,29 ft," 21,772,000.00 ",1742,"Samakhusi, Kathmandu-26, Kathmandu"
House for Sale,3,1,Available,2,28 ft," 16,500,000.00 ",1483,"Balaju, Kathmandu-16, Kathmandu"
House for Sale,3,3,Available,3,9 ft," 16,500,000.00 ",1676,"Kalanki, Kathmandu-14, Kathmandu"
House for Sale,4,3,Available,3,31 ft," 34,507,000.00 ",1042,"Thankot, Chandragiri-4, Kathmandu"
House for Sale,3,3,Available,2,19 ft," 17,542,000.00 ",1885,"Naikap, Chandragiri-8, Kathmandu"
House for Sale,3,2,Available,2,13 ft," 19,726,000.00 ",1800,"Sitapaila, Nagarjun-4, Kathmandu"
House for Sale,3,2,Available,2,9 ft," 16,500,000.00 ",1473,"Goldhunga, Tarakeshwor-7, Kathmandu"
House for Sale,3,2,Available,3,28 ft," 16,500,000.00 ",2063,"Kirtipur, Kirtipur-10, Kathmandu"
House for Sale,4,2,Available,1,8 ft," 20,071,000.00 ",2175,"Chovar, Kirtipur-6, Kathmandu"
House for Sale,5,3,Available,3,19 ft," 16,500,000.00 ",1156,"Imadol, Mahalaxmi-4, Lalitpur"
House for Sale,4,3,Available,2,29 ft," 22,313,000.00 ",1494,"Lubhu, Mahalaxmi-8, Lalitpur"
House for Sale,4,2,Available,3,19 ft," 16,500,000.00 ",1492,"Tikathali, Mahalaxmi-5, Lalitpur"
House for Sale,2,5,Available,1,32 ft," 17,086,000.00 ",1424,"Harisiddhi, Lalitpur-28, Lalitpur"
House for Sale,4,3,Not Available,2,24 ft," 16,500,000.00 ",2131,"Satdobato, Lalitpur-15, Lalitpur"
House for Sale,3,2,Available,2,17 ft," 40,279,000.00 ",1722,"Lagankhel, Lalitpur-12, Lalitpur"
House for Sale,2,2,Available,3,23 ft," 19,097,000.00 ",1694,"Jawalakhel, Lalitpur-4, Lalitpur"
House for Sale,5,2,Available,1,22 ft," 16,500,000.00 ",998,"Pulchowk, Lalitpur-3, Lalitpur"
House for Sale,4,2,Available,2,22 ft," 26,680,000.00 ",2054,"Bungamati, Karyabinayak-4, Lalitpur"
House for Sale,5,2,Not Available,2,26 ft," 16,500,000.00 ",1304,"Khokana, Karyabinayak-5, Lalitpur"
House for Sale,3,2,Available,2,19 ft," 20,873,000.00 ",1823,"Godawari, Godawari-3, Lalitpur"
House for Sale,2,2,Not Available,3,30 ft," 16,500,000.00 ",1910,"Chapagaun, Godawari-12, Lalitpur"
House for Sale,4,2,Available,3,27 ft," 16,500,000.00 ",2344,"Balkot, Suryabinayak-1, Bhaktapur"
House for Sale,3,4,Available,3,32 ft," 20,773,000.00 ",1276,"Balkot, Suryabinayak-3, Bhaktapur"
House for Sale,3,1,Not Available,2,10 ft," 25,798,000.00 ",800,"Dadhikot, Suryabinayak-3, Bhaktapur"
House for Sale,3,3,Not Available,3,12 ft," 20,562,000.00 ",1873,"Dadhikot, Suryabinayak-5, Bhaktapur"
House for Sale,2,2,Not Available,2,26 ft," 18,332,000.00 ",2520,"Jhaukhel, Changunarayan-2, Bhaktapur"
House for Sale,5,5,Not Available,1,14 ft," 17,021,000.00 ",2295,"Sipadol, Suryabinayak-7, Bhaktapur"
House for Sale,3,2,Available,1,28 ft," 16,500,000.00 ",1883,"Sipadol, Suryabinayak-9, Bhaktapur"
House for Sale,4,2,Not Available,2,16 ft," 16,500,000.00 ",1603,"Bode, Madhyapur Thimi-7, Bhaktapur"
House for Sale,3,5,Available,3,14 ft," 16,500,000.00 ",2122,"Bode, Madhyapur Thimi-9, Bhaktapur"
House for Sale,4,4,Not Available,3,25 ft," 29,305,000.00 ",1410,"Thimi, Madhyapur Thimi-4, Bhaktapur"
House for Sale,4,4,Available,3,11 ft," 22,029,000.00 ",1990,"Thimi, Madhyapur Thimi-6, Bhaktapur"
House for Sale,3,2,Not Available,2,32 ft," 16,500,000.00 ",2002,"Nagadesh, Madhyapur Thimi-3, Bhaktapur"
House for Sale,4,2,Available,2,21 ft," 21,857,000.00 ",2224,"Nagadesh, Madhyapur Thimi-5, Bhaktapur"
House for Sale,4,3,Available,2,25 ft," 16,500,000.00 ",2903,"Kamalbinayak, Bhaktapur-9, Bhaktapur"
House for Sale,5,4,Available,2,16 ft," 16,500,000.00 ",1956,"Kamalbinayak, Bhaktapur-11, Bhaktapur"
